'sound$','word$','test$','tran$','timeLab','f1','f2','f3',f3f2
RealWordRep_008L42MS3,raisins,Test72,$w,938.9350654,673.8802644,1640.276683,3568.726143,1928.449459
RealWordRep_008L42MS3,rabbit,Test77,$w,955.5858157,995.2541292,2634.373874,3989.466257,1355.092383
RealWordRep_008L42MS3,web,Test86,w,992.2395847,793.8037845,2550.976466,3657.431709,1106.455243
RealWordRep_008L42MS3,rock,Test87,$w,994.7918064,935.6997237,2869.434288,4374.407594,1504.973305
RealWordRep_008L42MS3,red,Test88,$w,997.9452367,343.852846,2127.347418,3212.947652,1085.600234
RealWordRep_008L42MS3,wet,Test89,w,1000.929583,487.0116706,2103.338413,3090.54517,987.206757
RealWordRep_010L44MS3,rabbit,Test2,$w:r,141.7351034,529.558795,1333.150425,3500.986268,2167.835842
RealWordRep_010L44MS3,red,Test3,$w,145.4823937,755.0687122,1358.548914,3634.73398,2276.185066
RealWordRep_010L44MS3,rock,Test12,$w,209.9020779,470.908917,2904.891282,3406.341448,501.450166
RealWordRep_010L44MS3,wet,Test13,w:$r,218.0339781,912.8550526,1198.974897,3780.378723,2581.403826
RealWordRep_010L44MS3,web,Test16,w,232.602792,529.2182163,2117.999367,3798.610221,1680.610854
RealWordRep_010L44MS3,waiting,Test18,w,253.1841847,387.1852526,2442.872674,3785.753584,1342.88091
RealWordRep_010L44MS3,running,Test20,$w:r,259.7856425,580.4007429,2944.807584,3933.064961,988.2573775
RealWordRep_010L44MS3,walk,Test25,w,278.9299751,718.5572514,2010.450253,3517.461224,1507.010971
RealWordRep_010L44MS3,rocking,Test28,$w:r,289.5342013,360.7431693,2336.625094,3461.694873,1125.069779
RealWordRep_010L44MS3,window,Test29,w,292.7553764,513.047842,2710.494452,4286.132382,1575.63793
RealWordRep_010L44MS3,wind,Test37,w,324.9995146,1225.225502,2941.317677,4649.12816,1707.810483
RealWordRep_010L44MS3,water,Test38,w,332.3879274,386.7192975,2529.745444,4179.520101,1649.774657
RealWordRep_010L44MS3,wheel,Test40,w,364.7334328,525.724649,1500.189866,3808.785897,2308.596031
RealWordRep_010L44MS3,watch,Test64,w:$r,498.3655111,551.0526392,2574.540818,4530.185597,1955.644779
RealWordRep_010L44MS3,reading,Test68,$w:r,519.8926285,1832.39642,2368.298832,4096.168703,1727.86987
RealWordRep_010L44MS3,raisins,Test70,$w:r,530.2768166,525.7633045,1613.435206,3261.065789,1647.630583
RealWordRep_010L44MS3,ring,Test72,$w,537.2431012,529.2077128,2605.047436,3879.880632,1274.833195
RealWordRep_010L44MS3,washer,Test73,w:$r,540.5202804,453.0662048,1967.499451,3595.910597,1628.411146
RealWordRep_010L44MS3,rain,Test74,$w:r,543.6500225,513.6030497,2271.735858,3357.147154,1085.411296
RealWordRep_010L44MS3,rock,Test75,$w:r,546.7845569,418.6144981,2287.288875,3749.270544,1461.981669
RealWordRep_010L44MS3,red,Test77,$w:r,553.5405593,699.3904471,2581.236406,3616.660549,1035.424144
RealWordRep_010L44MS3,rabbit,Test82,$w:r,574.6939602,346.9669163,2903.874327,3800.558283,896.6839564
RealWordRep_010L44MS3,wet,Test85,$other,603.8908603,1385.825831,2742.495759,3983.684646,1241.188887
RealWordRep_010L44MS3,web,Test86,w,606.9186319,382.2255566,2398.945261,4097.243333,1698.298072
RealWordRep_011L48MS4,wet,Test7,w,107.2082499,671.4060843,2032.63677,3868.838775,1836.202005
RealWordRep_011L48MS4,web,Test12,w,154.7943214,485.7995283,1478.565576,3914.013149,2435.447572
RealWordRep_011L48MS4,rabbit,Test13,r,157.8318157,1101.230601,2602.145477,4101.912924,1499.767447
RealWordRep_011L48MS4,rock,Test14,$other,164.8140066,742.7202796,1316.703949,3007.627297,1690.923348
RealWordRep_011L48MS4,red,Test15,r:$w,177.0837186,507.1748578,1330.160641,3917.202817,2587.042176
RealWordRep_011L48MS4,window,Test23,w,226.5110545,449.6248139,1589.424936,2881.326399,1291.901463
RealWordRep_011L48MS4,raisins,Test31,r,295.159947,619.0938849,1520.463275,3296.026867,1775.563592
RealWordRep_011L48MS4,wind,Test32,w,303.2612855,518.3412925,2321.417697,4093.075716,1771.658019
RealWordRep_011L48MS4,water,Test33,$other,306.6361661,764.6453929,1540.205876,3338.573058,1798.367182
RealWordRep_011L48MS4,rain,Test35,r,313.4249751,584.9599455,1781.847914,4231.925754,2450.07784
RealWordRep_011L48MS4,watch,Test38,w,323.8504674,600.3460891,1081.971253,3692.28156,2610.310308
RealWordRep_011L48MS4,reading,Test44,r:$w,354.2175527,536.7118528,1516.772952,3489.146283,1972.37333
RealWordRep_011L48MS4,ring,Test46,r,361.8939904,558.6213156,2093.874579,3350.874785,1257.000206
RealWordRep_011L48MS4,walk,Test47,w,365.245277,319.9428527,713.5745312,2994.20739,2280.632858
RealWordRep_011L48MS4,rocking,Test48,r:$w,369.1981481,620.9082079,1637.081312,3776.269917,2139.188605
RealWordRep_011L48MS4,waiting,Test49,w,373.1448201,555.1977763,1821.360625,3444.704958,1623.344334
RealWordRep_011L48MS4,running,Test51,r:$w,380.9406654,534.5410456,2149.247507,2924.50519,775.2576832
RealWordRep_011L48MS4,wheel,Test60,w,424.7430566,388.1818519,1624.068312,3589.67902,1965.610708
RealWordRep_011L48MS4,washer,Test68,w,472.370106,495.9348837,2206.820313,3992.723108,1785.902795
RealWordRep_011L48MS4,rock,Test76,r:$w,513.4922975,1317.488021,2582.45534,4583.483912,2001.028571
RealWordRep_011L48MS4,red,Test80,r,530.4505178,501.8298492,1513.085533,3825.003224,2311.91769
RealWordRep_011L48MS4,rabbit,Test85,r,552.2742069,973.5722211,2299.701409,3822.390124,1522.688715
RealWordRep_011L48MS4,web,Test87,w:$r,560.2788014,603.5470065,1781.596622,3834.333968,2052.737346
RealWordRep_012L41MS3,rabbit,Test3,r,151.8614461,498.512759,2176.949889,3874.009416,1697.059527
RealWordRep_012L41MS3,web,Test4,w,155.1634426,523.92228,2099.535466,3657.626766,1558.091299
RealWordRep_012L41MS3,wet,Test7,w,173.3601129,614.2903299,1071.284109,3457.116349,2385.83224
RealWordRep_012L41MS3,rock,Test16,r:$w,249.9087626,1140.120556,2357.101037,4027.757848,1670.656811
RealWordRep_012L41MS3,rocking,Test17,r,253.0989528,940.9411757,1853.88869,3015.319875,1161.431185
RealWordRep_012L41MS3,waiting,Test21,w,275.9343263,433.8902549,2396.473989,3492.689918,1096.215929
RealWordRep_012L41MS3,walk,Test23,w,294.711201,692.2069061,2453.455687,4259.02493,1805.569243
RealWordRep_012L41MS3,raisins,Test32,r,342.276934,1203.555589,2265.797617,4672.95542,2407.157803
RealWordRep_012L41MS3,watch,Test34,w,370.312454,862.9772512,1166.173867,3220.681412,2054.507545
RealWordRep_012L41MS3,water,Test38,w,393.9510546,861.6184604,2692.103271,3948.502626,1256.399354
RealWordRep_012L41MS3,reading,Test50,r,508.3583098,433.2308748,1395.312908,3070.477758,1675.16485
RealWordRep_012L41MS3,washer,Test58,w,551.6661619,639.0948638,2771.56537,4491.293813,1719.728442
RealWordRep_012L41MS3,wind,Test60,w,560.1146835,373.8145661,2126.42633,3483.370822,1356.944492
RealWordRep_012L41MS3,ring,Test65,r,594.079381,412.5761556,2268.275725,3587.831066,1319.555341
RealWordRep_012L41MS3,window,Test67,w,601.0701476,882.0611626,2198.572778,3956.766434,1758.193656
