sound,word,test,ChildWordKey,tran,timeLab,f1,f2,f3,f3f2,ChildID
RealWordRep_004L44FS3,rocking,Test28,004L44FS3Test28rocking,r,351.5814444,893.9428078,1538.175815,2999.469162,1461.293347,C004
RealWordRep_004L44FS3,rain,Test31,004L44FS3Test31rain,r,380.6601957,595.0040467,2219.661472,3291.652934,1071.991462,C004
RealWordRep_004L44FS3,waiting,Test38,004L44FS3Test38waiting,w,560.5329387,616.923657,2036.07319,4158.857132,2122.783942,C004
RealWordRep_004L44FS3,reading,Test43,004L44FS3Test43reading,r:$w,600.7084398,584.7749293,2349.849941,3962.583684,1612.733743,C004
RealWordRep_004L44FS3,water,Test47,004L44FS3Test47water,w,631.773363,908.1268639,1352.206172,3404.971745,2052.765573,C004
RealWordRep_004L44FS3,wind,Test48,004L44FS3Test48wind,w,634.7791566,839.2770892,2526.112554,4298.41547,1772.302916,C004
RealWordRep_004L44FS3,raisins,Test51,004L44FS3Test51raisins,r,649.7943135,1091.045845,2406.118219,3963.708653,1557.590435,C004
RealWordRep_004L44FS3,walk,Test63,004L44FS3Test63walk,w,724.9633152,577.3175841,1102.467745,3208.130944,2105.663198,C004
RealWordRep_004L44FS3,window,Test68,004L44FS3Test68window,w,763.6748487,750.071482,2048.809623,3762.705553,1713.89593,C004
RealWordRep_004L44FS3,rock,Test77,004L44FS3Test77rock,r,861.5394954,670.8848209,2184.728818,3749.929839,1565.201021,C004
RealWordRep_004L44FS3,wet,Test81,004L44FS3Test81wet,w,923.3443973,914.7748954,1588.884659,3261.933693,1673.049034,C004
RealWordRep_004L44FS3,red,Test82,004L44FS3Test82red,$w:r,926.9643548,1425.58753,3252.516879,4147.043613,894.5267339,C004
RealWordRep_004L44FS3,web,Test85,004L44FS3Test85web,w,941.1791413,595.7918403,1309.010675,3151.520678,1842.510003,C004
RealWordRep_004L44FS3,rabbit,Test90,004L44FS3Test90rabbit,r:$w,996.8017244,766.6293088,2290.971969,3941.257551,1650.285582,C004
RealWordRep_006L40FS3,wet,Test6,006L40FS3Test6wet,w:$r,167.0899518,511.7371154,2057.287976,3781.402864,1724.114888,C006
RealWordRep_006L40FS3,web,Test9,006L40FS3Test9web,w:$r,186.7879873,557.6044406,2347.431861,3706.772412,1359.340551,C006
RealWordRep_006L40FS3,red,Test10,006L40FS3Test10red,$w:r,192.7094297,526.0116929,2540.079107,4005.944461,1465.865354,C006
RealWordRep_006L40FS3,rabbit,Test14,006L40FS3Test14rabbit,$other,238.6268418,603.6754309,2055.995664,4149.806601,2093.810937,C006
RealWordRep_006L40FS3,rock,Test16,006L40FS3Test16rock,$w:r,273.9384702,445.4865676,1784.003507,3378.256862,1594.253355,C006
